Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Density,Density_Err,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,,,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Period_Code,A_C_Code,A_Code,C_Code,Study_Code,Area_Code,Scat_Kill,n_Prey_Species
Cervids = Roe deer (Capreolus capreolus) and fallow deer (Dama dama). ,Capitani 2004,Cecina Valley,25,Cervids,See notes,,2000-2001,550,1.157894737,22,,0.5365853659,,,31.61818182,,,17390,695.6,0.150140238,0.4953357545,118,54,119,45.8,,,,,0.8307692308,40.5,,,,37.36505455,93.34165455,0.4003041807,0.6675120416,,,,,,,,,Wild,,,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama)",,,,,,,,SYR,UA,,T-T,CAI04CCV,CCV,Scat,3
,Capitani 2004,Cecina Valley,25,Mouflon,Ovis ammon musimon,Ovis aries musimon,2000-2001,100,0.1081081081,4,,0.09756097561,,,34.2,,,3420,136.8,0.02952729236,0.06968570119,118,41,119,34.7,,,,,0.5256410256,33,,,,29.2166,93.34165455,0.3130070936,0.4556191056,,,,,,,,,Wild,,,Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra),,,,,,,,SYR,UA,,T-T,CAI04CCV,CCV,Scat,3
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1997 (Spring-Autumn),455,0.4080717489,0.3791666667,,0.2898089172,,,75,,,34125,28.4375,0.04858066169,0.05106125106,199,,,,,,,,,23,,,,,,,,,,,,,,,,Wild,,,flee,,,,,,,,SNW,G,,T-S,CHZ05AGZ,AGZ,Scat,3
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1997 (Spring-Autumn),115,0.07903780069,0.09583333333,,0.07324840764,,,481,,,55315,46.09583333,0.07874693924,0.08547807611,199,,,,,,,,,15.3,,,,,,,,,,,,,,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,,,,,SNW,G,,T-S,CHZ05AGZ,AGZ,Scat,3
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1997 (Spring-Autumn),1000,1.754385965,0.8333333333,,0.6369426752,,,613,,,613000,510.8333333,0.8726723991,6.853756708,199,,,,,,,,,8,,,,,,,,,,,,,,,,Livestock,,,farmers reported seeing cattle chase away wolves,,,,,,,,SNW,G,,T-S,CHZ05AGZ,AGZ,Scat,3
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1998 (Spring-Autumn),432,0.3902439024,0.36,,0.2807017544,,,75,,,32400,27,0.04649380728,0.04876088655,101,,,,,,,,,49.1,,,,,,,,,,,,,,,,Wild,,,flee,,,,,,,,SNW,G,,T-S,CHZ05AGZ,AGZ,Scat,3
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1998 (Spring-Autumn),107,0.07472067039,0.08916666667,,0.06952566602,,,481,,,51467,42.88916667,0.07385483887,0.07974434459,101,,,,,,,,,14.5,,,,,,,,,,,,,,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,,,,,SNW,G,,T-S,CHZ05AGZ,AGZ,Scat,3
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1998 (Spring-Autumn),1000,1.85528757,0.8333333333,,0.6497725796,,,613,,,613000,510.8333333,0.8796513538,7.309191935,101,,,,,,,,,8.8,,,,,,,,,,,,,,,,Livestock,,,farmers reported seeing cattle chase away wolves,,,,,,,,SNW,G,,T-S,CHZ05AGZ,AGZ,Scat,3
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1999 (Spring-Autumn),504,0.4732394366,0.42,,0.3212237094,,,75,,,37800,31.5,0.05541993798,0.05867150939,232,,,,,,,,,48.7,,,,,,,,,,,,,,,,Wild,,,flee,,,,,,,,SNW,G,,T-S,CHZ05AGZ,AGZ,Scat,3
Number_ind_err is the +/- 90% CI. Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1999 (Spring-Autumn),65,0.04321808511,0.05416666667,,0.04142766093,,,481,,,31265,26.05416667,0.04583873971,0.04804087277,232,,,,,,,,,12,,,,,,,,,,,,,,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,,,,,SNW,G,,T-S,CHZ05AGZ,AGZ,Scat,3
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1999 (Spring-Autumn),1000,1.757469244,0.8333333333,,0.6373486297,,,613,,,613000,510.8333333,0.8987413223,8.875696807,232,,,,,,,,,12.8,,,,,,,,,,,,,,,,Livestock,,,farmers reported seeing cattle chase away wolves,,,,,,,,SNW,G,,T-S,CHZ05AGZ,AGZ,Scat,3
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Bharal,Pseudois nayaur,Pseudois nayaur,2012-2013,29850,0.1606133979,5.97,0.1,0.13839,34,Calculated for by RB,51.8,202.98,0.07382621125,1546230,309.246,0.0390602975,0.04064802131,57,,,,,1.76,,,,4.42,,0.0409,,,,,,,,,,,,,,Wild,,,Cliff-dwelling. Herd,Not known,,,0.5540037787,-0.3029446248,-0.2869981575,0.003174685641,SYR,A,,,CHI17CHM,CHM,Scat,10
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Himalayan tahr,Hemitragus jemlahicus,Hemitragus jemlahicus,2012-2013,4250,0.02009931426,0.85,0.22,0.0197,50,Calculated for by RB,67.90,42.50,0.01545774942,288575,57.715,0.007289876248,0.00734340879,57,,,,,0,,,,0,,0,,,,,,,,,,,,,,Wild,,,Cliff-dwelling,Not known,,,0,-1,-1,0,SYR,A,,,CHI17CHM,CHM,Scat,10
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Tibetan argali,Ovis ammon hodgsonii,Ovis ammon hodgsonii,2012-2013,1200,0.005594405594,0.24,0.4,0.00556,80,Calculated for by RB,113.00,19.20,0.006983265622,135600,27.12,0.003425477672,0.003437251902,57,,,,,2.3,,,,8.95,,0.1257,,,,,,,,,,,,,,Wild,,,Plains-dwelling,Not known,,,18.00017453,0.9067352377,0.894737809,0.1031489275,SYR,A,,,CHI17CHM,CHM,Scat,10
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Tibetan gazelle,Procapra picticaudata,Procapra picticaudata,2012-2013,450,0.002090592334,0.09,0.14,0.00209,20,Calculated for by RB,23.00,1.80,0.0006546811521,10350,2.07,0.0002614579197,0.0002615262978,57,,,,,6.31,,,,11.05,,0.0862,,,,,,,,,,,,,,Wild,,,Plains-dwelling,Not known,,,131.6671478,0.9862062457,0.9849246778,0.7545107443,SYR,A,,,CHI17CHM,CHM,Scat,10
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Kiang,Equus kiang,Equus kiang,2012-2013,1250,0.005828864537,0.25,0.12,0.0058,100,Calculated for by RB,280.00,25.00,0.009092793779,350000,70,0.008841572163,0.008920442903,57,,,,,2.56,,,,10.84,,0.1748,,,,,,,,,,,,,,Wild,,,Plains-dwelling,Not known,,,19.22401456,0.9169585602,0.9011076661,0.1101620699,SYR,A,,,CHI17CHM,CHM,Scat,10
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Goat,Capra hircus,Capra hircus,2012-2013,81950,0.6127102804,16.39,0.16,0.37993,25,Calculated for by RB,46.9,409.75,0.14903089,3843455,768.691,0.09709195639,0.1075324969,57,,,,,4.15,,,,8.53,,0.071,,,,,,,,,,,,,,Livestock,"semi-guarded, dispersed in pasture",,"Herd. Plains-dwelling. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,0.4764112996,-0.3923743006,-0.3546360696,0.002730046563,SYR,A,,,CHI17CHM,CHM,Scat,10
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Sheep,Ovis aries,Ovis aries,2012-2013,31800,0.1729200653,6.36,0.09,0.14743,30,Calculated for by RB,34.2,190.80,0.06939620212,1087560,217.512,0.02747354349,0.0282496618,57,,,,,0.53,,,,1.23,,0.0109,,,,,,,,,,,,,,Livestock,"semi-guarded, less dispersed in pasture",,"Herd. Plains-dwelling. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,0.1570691143,-0.7424943347,-0.7285052166,0.0009000751995,SYR,A,,,CHI17CHM,CHM,Scat,10
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Horse,Equus ferus caballus,Equus caballus,2012-2013,6200,0.02959427208,1.24,0.06,0.02874,110,Calculated for by RB,400.00,136.40,0.04961028286,2480000,496,0.06264885418,0.06683605654,57,,,,,1.2,,,,5.26,,0.0903,,,,,,,,,,,,,,Livestock,unattended in pastures,,"Herd. Plains-dwelling. Left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,1.820187163,0.3107255461,0.2908272095,0.01043047407,SYR,A,,,CHI17CHM,CHM,Scat,10
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Yak/Chauri,Bos spp,Bos grunniens,2012-2013,54600,0.3389199255,10.92,0.14,0.25313,150,Calculated for by RB,500,1638.00,0.5957598484,27300000,5460,0.6896426287,2.22209199,57,,,,,0.87,,,,4.18,,0.0892,,,,,,,,,,,,,,Livestock,"unattented, too large",,"Herd. Plains-dwelling. Milking yak cows are brought back to the corrals/pens in the afternoon or in the morning on a regular basis. Males left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,0.1497247595,-0.8753768832,-0.7395467772,0.000857988812,SYR,A,,,CHI17CHM,CHM,Scat,10
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively. Lulu cows are a ""dwarf"" breed and according to wikipedia they are one of the smallest breeds and weigh only 68-153kg.",Chetri 2017,Central Himalayas,5000,Lulu cow,Bos taurus sp,Bos taurus,2012-2013,4150,0.01961711179,0.83,0.04,0.01924,100,Calculated for by RB,613,83.00,0.03018807535,2543950,508.79,0.06426433573,0.06867787365,57,,,,,1.09,,,,4.6,,0.0742,,,,,,,,,,,,,,Livestock,,,"Herd. Plains-dwelling. Milking yak cows are brought back to the corrals/pens in the afternoon or in the morning on a regular basis. Males left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,2.457924169,0.4405238017,0.4216183171,0.01408498798,SYR,A,,,CHI17CHM,CHM,Scat,10
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2000-2001,2100,0.4374088732,17.497,5.068-30.941,0.3042639029,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.47,177450,1478.4965,0.6226039849,1.650046865,178,,,,,,,,,,,0.559,,,,,,,,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2000-2001,4801,2.286190476,40.009,27.009-54.658,0.6957360971,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.53,107542.4,896.2016,0.3773960151,0.6060433925,178,,,,,,,,,,,0.421,,,,,,,,,,,,,,Wild,,,,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2001-2002,987,0.2015108207,8.223,0.614-21.350,0.1676726072,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.3,83401.5,694.8435,0.4317972947,0.7601635872,242,,,,,,,,,,,0.482,,,,,,,,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2001-2002,4898,4.962512665,40.819,27.628-54.263,0.8323273928,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.7,109715.2,914.3456,0.5682027053,1.315506316,242,,,,,,,,,,,0.476,,,,,,,,,,,,,,Wild,,,,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2002-2003,1472,0.3048881524,12.267,3.135-23.998,0.2336571429,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.39,124384,1036.5615,0.5349219858,1.150136111,262,,,,,,,,,,,0.685,,,,,,,,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2002-2003,4828,3.279891304,40.233,27.994-53.359,0.7663428571,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.61,108147.2,901.2192,0.4650780142,0.8694623103,262,,,,,,,,,,,0.263,,,,,,,,,,,,,,Wild,,,,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2003-2004,3114,0.5440251572,25.949,9.588-45.227,0.352333365,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.53,263133,2192.6905,0.6723630365,2.052237758,293,,,,,,,,,,,0.712,,,,,,,,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2003-2004,5724,1.838150289,47.7,36.159-60.193,0.647666635,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.47,128217.6,1068.48,0.3276369635,0.487272976,293,,,,,,,,,,,0.261,,,,,,,,,,,,,,Wild,,,,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2004-2005,563,0.1092991652,4.69,1.075-8.812,0.09849009849,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.18,47573.5,396.305,0.2918482503,0.412311583,232,,,,,,,,,,,0.488,,,,,,,,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2004-2005,5151,9.14920071,42.929,30.943-54.597,0.9015099015,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.82,115382.4,961.6096,0.7081517497,2.425350248,232,,,,,,,,,,,0.482,,,,,,,,,,,,,,Wild,,,,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2005-2006,964,0.2296331586,8.035,1.314-17.104,0.186764911,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.32,81458,678.9575,0.4641916615,0.8662500851,143,,,,,,,,,,,0.461,,,,,,,,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2005-2006,4198,4.354771784,34.987,25.665-44.436,0.813235089,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.68,94035.2,783.7088,0.5358083385,1.154401041,143,,,,,,,,,,,0.399,,,,,,,,,,,,,,Wild,,,,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2007-2008,2559,0.5706958073,21.322,1.093-62.288,0.3633110687,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.54,216235.5,1801.709,0.6827998436,2.152848023,208,,,,,,,,,,,0.765,,,,,,,,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2007-2008,4484,1.752246971,37.366,29.376-46.434,0.6366889313,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.46,100441.6,836.9984,0.3172001564,0.4645009723,208,,,,,,,,,,,0.201,,,,,,,,,,,,,,Wild,,,,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2008-2009,1895,0.4835417198,15.79,2.409-41.980,0.3259164465,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.5,160127.5,1334.255,0.6458799236,1.824074791,272,,,,,,,,,,,0.696,,,,,,,,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2008-2009,3919,2.068073879,32.658,22.829-41.980,0.6740835535,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.5,87785.6,731.5392,0.3541200764,0.5482231347,272,,,,,,,,,,,0.229,,,,,,,,,,,,,,Wild,,,,,,,,,,,SYR,A,,,DAS12ADC,ADC,Scat,2
Mean of all years. (consumption includes 2006-2007 but density does not because no census was done that year),Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2000-2009,1707,0.3592927805,14.221625,,0.2642970307,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.4,144241.5,1201.727313,0.5817265401,1.355367855,1974,1284,2088,65.04559271,,58.9261129,,61.49425287,1.597014925,,,0.615,0.039,1431.66,1928.6928,0.7422955071,2.880413526,,,,,,,,,Wild,,,,,,,,,,,MYR,P-8-9,,,DAS12ADC,ADC,Scat,2
,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2000-2009,4751,2.78324546,39.587625,,0.7357029693,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.6,106422.4,886.7628,0.4292599911,0.7378070805,1974,804,2088,40.72948328,,36.89765948,,38.50574713,0.6261682243,,,0.337,0.0361,497.0328,1928.6928,0.2577044929,0.3471723733,,,,,,,,,Wild,,,,,,,,,,,MYR,P-8-9,,,DAS12ADC,ADC,Scat,2
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,2018 (spring-autumn),735,0.1389151389,1.13,,0.1218985976,,,84.5,,,62107.5,95.485,0.3436925214,0.5240325553,42,23,,55.6,,,,,,,,,,25.645,28.736,0.8924345768,8.296667745,,,,,,,,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.02,,,,,,,,B,,,DOV22OOM,OOM,Scat,2
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,2018 (spring-autumn),5291,7.198639456,8.14,,0.8781014024,,,22.4,,,118518.4,182.336,0.6563074786,1.908278388,42,5,,11.1,,,,,,,,,,3.091,28.736,0.1075654232,0.1205303178,,,,,,,,,Wild,,,found in smaller groups than wild boar,0.02,,,,,,,,B,,,DOV22OOM,OOM,Scat,2
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,2019 (spring-autumn),715,0.161036036,1.1,,0.1387137453,,,84.5,,,60417.5,92.95,0.377934635,0.6074796895,25,22,,88.9,,,,,,,,,,24.53,25.1482,0.9754177237,39.6797153,,,,,,,,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.02,,,,,,,,B,,,DOV22OOM,OOM,Scat,2
