Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Defense,Prey_Notes,Avg_Wolf_Density,Pack_Name,n_Packs,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2000-2001,2100,,,17.497,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.47,178,,,,,,0.559,Wild,Tusk,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2000-2001,4801,,,40.009,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.53,178,,,,,,0.421,Wild,None,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2001-2002,987,,,8.223,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.3,242,,,,,,0.482,Wild,Tusk,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2001-2002,4898,,,40.819,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.7,242,,,,,,0.476,Wild,None,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2002-2003,1472,,,12.267,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.39,262,,,,,,0.685,Wild,Tusk,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2002-2003,4828,,,40.233,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.61,262,,,,,,0.263,Wild,None,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2003-2004,3114,,,25.949,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.53,293,,,,,,0.712,Wild,Tusk,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2003-2004,5724,,,47.7,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.47,293,,,,,,0.261,Wild,None,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2004-2005,563,,,4.69,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.18,232,,,,,,0.488,Wild,Tusk,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2004-2005,5151,,,42.929,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.82,232,,,,,,0.482,Wild,None,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2005-2006,964,,,8.035,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.32,143,,,,,,0.461,Wild,Tusk,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2005-2006,4198,,,34.987,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.68,143,,,,,,0.399,Wild,None,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2007-2008,2559,,,21.322,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.54,208,,,,,,0.765,Wild,Tusk,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2007-2008,4484,,,37.366,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.46,208,,,,,,0.201,Wild,None,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2008-2009,1895,,,15.79,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.5,272,,,,,,0.696,Wild,Tusk,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2008-2009,3919,,,32.658,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.5,272,,,,,,0.229,Wild,None,,,,,,A,DC,SSP,1,T,SYR,1,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
Mean of all years. (consumption includes 2006-2007 but density does not because no census was done that year),Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2000-2009,1707,,,14.221625,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.4,1974,1284,65.04559271,58.9261129,,,0.615,Wild,Tusk,,,,,,P-8-9,DC,MSP,8,T,MYR,9,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2000-2009,4751,,,39.587625,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.6,1974,804,40.72948328,36.89765948,,,0.337,Wild,None,,,,,,P-8-9,DC,MSP,8,T,MYR,9,DAS12ADC,ADC,2,3,UK,UK,UK,PACK
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,2018 (spring-autumn),735,,,1.13,,,84.5,,,42,23,55.6,,,,,Wild,Tusk,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.02,,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,2018 (spring-autumn),5291,,,8.14,,,22.4,,,42,5,11.1,,,,,Wild,None,found in smaller groups than wild boar,0.02,,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,2019 (spring-autumn),715,,,1.1,,,84.5,,,25,22,88.9,,,,,Wild,Tusk,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.02,,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,2019 (spring-autumn),4440,,,6.83,,,22.4,,,25,1,3.7,,,,,Wild,None,found in smaller groups than wild boar,0.02,,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,2020 (spring-autumn),384,,,0.59,,,84.5,,,60,44,73.3,,,,,Wild,Tusk,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.06,,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,2,2,1,1,POP
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,2020 (spring-autumn),3393,,,5.22,,,22.4,,,60,15,25,,,,,Wild,None,found in smaller groups than wild boar,0.06,,,1,B,CAM,SNW,1,T,SNW,1,DOV22OOM,OOM,2,2,2,1,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Wild boar,Sus scrofa,Sus scrofa,April 2016-March 2017,1366,,,15.1759,,,84.5,,,71,,43.8103,36.0129,35.3698,,,Wild,Tusk,"Form groups. large body mass, more rewarding. Culled and captured for population control - exact level detailed in study area. From Ferretti 2019: Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. ",NR,NR,1,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,PACK
,Lazzeri 2024,Maremma Regional Park,90,Fallow deer,Dama dama,Dama dama,April 2016-March 2017,814,,,9.04523,,,56.2,,,71,,52.492,42.7653,44.373,,,Wild,Antler,"Form groups. large body mass, more rewarding. tend to select more open habitat. females lack effective defensive antlers. increased diurnal activity throughout years since wolf settlement (wolves here are mostly nocturnal), temporal avoidance - possible anti-predator response. culled every year for population control purposes - exact numbers described in study area. From Ferretti 2019: Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,1,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,PACK
,Lazzeri 2024,Maremma Regional Park,90,Roe deer,Capreolus capreolus,Capreolus capreolus,April 2016-March 2017,624,,,6.93467,,,22.4,,,71,,8.36013,7.07396,7.71704,,,Wild,None,"small mixed-sex groups in autumn/winter, ie more detectable than in spring/summer when they are more solitary due to male territoriality and mother-fawn associationas. tend to occupy more concealed habitats and avoid areas of high fallow deer densities. peak activity at dusk and dawn (wolf was primarily nocturnal in this study area, thus low temporal overlap). From Ferretti 2019: Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals). ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,1,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,PACK
,Lazzeri 2024,Maremma Regional Park,90,Wild boar,Sus scrofa,Sus scrofa,April 2017-March 2018,1185,,,13.1658,,,84.5,,,346,,55.3957,39.4085,39.0887,,,Wild,Tusk,"Form groups. large body mass, more rewarding. Culled and captured for population control - exact level detailed in study area. From Ferretti 2019: Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. ",NR,NR,2,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Fallow deer,Dama dama,Dama dama,April 2017-March 2018,796,,,8.84422,,,56.2,,,346,,51.0791,36.3709,40.5276,,,Wild,Antler,"Form groups. large body mass, more rewarding. tend to select more open habitat. females lack effective defensive antlers. increased diurnal activity throughout years since wolf settlement (wolves here are mostly nocturnal), temporal avoidance - possible anti-predator response. culled every year for population control purposes - exact numbers described in study area. From Ferretti 2019: Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,2,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Roe deer,Capreolus capreolus,Capreolus capreolus,April 2017-March 2018,615,,,6.83417,,,22.4,,,346,,6.47482,4.79616,4.55635,,,Wild,None,"small mixed-sex groups in autumn/winter, ie more detectable than in spring/summer when they are more solitary due to male territoriality and mother-fawn associationas. tend to occupy more concealed habitats and avoid areas of high fallow deer densities. peak activity at dusk and dawn (wolf was primarily nocturnal in this study area, thus low temporal overlap). From Ferretti 2019: Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals). ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,2,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Wild boar,Sus scrofa,Sus scrofa,April 2018-March 2019,959,,,10.6553,,,84.5,,,586,,68.0288,53.8462,57.6923,,,Wild,Tusk,"Form groups. large body mass, more rewarding. Culled and captured for population control - exact level detailed in study area. From Ferretti 2019: Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. ",NR,NR,2,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Fallow deer,Dama dama,Dama dama,April 2018-March 2019,823,,,9.14573,,,56.2,,,586,,34.375,27.4038,26.4423,,,Wild,Antler,"Form groups. large body mass, more rewarding. tend to select more open habitat. females lack effective defensive antlers. increased diurnal activity throughout years since wolf settlement (wolves here are mostly nocturnal), temporal avoidance - possible anti-predator response. culled every year for population control purposes - exact numbers described in study area. From Ferretti 2019: Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,2,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Roe deer,Capreolus capreolus,Capreolus capreolus,April 2018-March 2019,455,,,5.05025,,,22.4,,,586,,6.00962,4.32692,4.80769,,,Wild,None,"small mixed-sex groups in autumn/winter, ie more detectable than in spring/summer when they are more solitary due to male territoriality and mother-fawn associationas. tend to occupy more concealed habitats and avoid areas of high fallow deer densities. peak activity at dusk and dawn (wolf was primarily nocturnal in this study area, thus low temporal overlap). From Ferretti 2019: Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals). ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,2,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Wild boar,Sus scrofa,Sus scrofa,April 2019-March 2020,954,,,10.603,,,84.5,,,588,,50.5995,35.012,39.5683,,,Wild,Tusk,"Form groups. large body mass, more rewarding. Culled and captured for population control - exact level detailed in study area. From Ferretti 2019: Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. ",NR,NR,3,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Fallow deer,Dama dama,Dama dama,April 2019-March 2020,755,,,8.39196,,,56.2,,,588,,33.3333,23.0216,23.2614,,,Wild,Antler,"Form groups. large body mass, more rewarding. tend to select more open habitat. females lack effective defensive antlers. increased diurnal activity throughout years since wolf settlement (wolves here are mostly nocturnal), temporal avoidance - possible anti-predator response. culled every year for population control purposes - exact numbers described in study area. From Ferretti 2019: Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,3,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
,Lazzeri 2024,Maremma Regional Park,90,Roe deer,Capreolus capreolus,Capreolus capreolus,April 2019-March 2020,285,,,3.16583,,,22.4,,,588,,6.95444,4.79616,5.27578,,,Wild,None,"small mixed-sex groups in autumn/winter, ie more detectable than in spring/summer when they are more solitary due to male territoriality and mother-fawn associationas. tend to occupy more concealed habitats and avoid areas of high fallow deer densities. peak activity at dusk and dawn (wolf was primarily nocturnal in this study area, thus low temporal overlap). From Ferretti 2019: Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals). ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",NR,NR,3,,A,PC,SSU,1,T,SYR,1,LAI24MAR,MAR,3,3,1,0,1,POP
