Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Density,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n
density is the average number of wild boar hunted per km (squared here for consistency),Meriggi 1996,Central Northern Apennines,200,Wild boar,Sus scrofa,Sus scrofa,242,0.0436036036,1.21,0.04178176796,,,84.5,,,20449,102.245,0.01267040044,0.01283299968,71,,,,,,,,,28.6,,,,,,,,,Wild,,,"Live in large groups, easily detectable. Births are spread throughout the years with a peak in spring and autumn. Subadults are forced out of the hear when there are new births. (ie constant supply of subadults (naive) since births happen year round)",,,,,,,Jan-Dec 1992,SYR,P-5-1,HH,U,1,T,1,MEI96CNA,CNA,5,UK,UK,UK
"""Some fallow deer that escaped from an enclosure"", should we come up with a number for this one or just exlude it ~ solution: assume they were eaten according to availability rather than creating preference",Meriggi 1996,Central Northern Apennines,200,Fallow deer,Dama dama,Dama dama,0,0,,0,,,56.2,,,0,0,0,0,71,,,,,,,,,1.9,,,,,,,,,Wild,,,,,,,,,,Jan-Dec 1992,SYR,U,U,U,1,T,1,MEI96CNA,CNA,5,UK,UK,UK
,Meriggi 1996,Central Northern Apennines,200,Sheep and goats,Ovis aries + Capra aegagrus hircus,Capra hircus and Ovis aries,3000,1.074498567,15,0.5179558011,,,40.55,,,121650,608.25,0.07537553,0.08152015488,71,,,,,,,,,46,,,,,,,,,Wild,,,Free graze year round,,,,,,,Jan-Dec 1992,SYR,A,FARM,U,1,T,1,MEI96CNA,CNA,5,UK,UK,UK
,Meriggi 1996,Central Northern Apennines,200,Cattle,Bos taurus,Bos taurus,2150,0.5903349808,10.7,0.3712016575,,,613,,,1317950,6559.1,0.8128165044,4.342351348,71,,,,,,,,,5,,,,,,,,,Livestock,,,"No calves born on pasture. Graze Apr-Oct. Large herds that ""exert active defence against predators"", also implies that calves are only integrated into the herd after they are two weeks old",,,,,,,Jan-Dec 1992,SYR,A,FARM,U,1,T,1,MEI96CNA,CNA,5,UK,UK,UK
,Meriggi 1996,Central Northern Apennines,200,Horse,Equus caballus,Equus caballus,400,0.07418397626,2,0.06906077348,,,400,,,160000,800,0.09913756514,0.110047396,71,,,,,,,,,0,,,,,,,,,Livestock,,,Graze Apr-Oct,,,,,,,Jan-Dec 1992,SYR,A,FARM,U,1,T,1,MEI96CNA,CNA,5,UK,UK,UK
,Meriggi 1996,Eastern Northern Apennines,130,Wild boar,Sus scrofa,Sus scrofa,400,0.122324159,3.1,0.1089918256,,,84.5,,,33800,261.95,0.03142984497,0.03244973512,156,,,,,,,,,49.6,,,,,,,,,Wild,,,"Live in large groups, easily detectable. Births are spread throughout the years with a peak in spring and autumn. Subadults are forced out of the hear when there are new births. (ie constant supply of subadults (naive) since births happen year round)",,,,,,,Dec 1990-Oct 1992,MYR,P-5-2,HH,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK
,Meriggi 1996,Eastern Northern Apennines,130,Roe deer,Capreolus capreolus,Capreolus capreolus,850,0.3014184397,6.5,0.2316076294,,,22.4,,,19040,145.6,0.01746969051,0.01778030697,156,,,,,,,,,14.3,,,,,,,,,Wild,,,"Solitary and territorial, may be harder to detect, especially in forests",,,,,,,Dec 1990-Oct 1992,MYR,P-1-2,CNT,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK
,Meriggi 1996,Eastern Northern Apennines,130,Fallow deer,Dama dama,Dama dama,380,0.1155015198,2.9,0.1035422343,,,56.2,,,21356,162.98,0.01955501483,0.01994504039,156,,,,,,,,,18.9,,,,,,,,,Wild,,,,,,,,,,Dec 1990-Oct 1992,MYR,P-1-2,CNT,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK
,Meriggi 1996,Eastern Northern Apennines,130,Red deer,Cervus elaphus,Cervus elaphus,250,0.0730994152,1.9,0.06811989101,,,240,,,60000,456,0.05471276697,0.05787951541,156,,,,,,,,,2.5,,,,,,,,,Wild,,,,,,,,,,Dec 1990-Oct 1992,MYR,P-1-2,CNT,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK
Ovis orientalis and Ovis gmellini aren't in PanTheria database so domestic sheep weight was used,Meriggi 1996,Eastern Northern Apennines,130,Mouflon,Ovis musimon,Ovis aries musimon,50,0.0138121547,0.4,0.0136239782,,,34.2,,,1710,13.68,0.001641383009,0.001644081577,156,,,,,,,,,4.9,,,,,,,,,Wild,,,Introduced species. Small body size. No rocky habitat available in area C to help escape from predators,,,,,,,Dec 1990-Oct 1992,MYR,P-1-2,CNT,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK
,Meriggi 1996,Eastern Northern Apennines,130,Sheep and goats,Ovis aries + Capra aegagrus hircus,Capra hircus and Ovis aries,200,0.05763688761,1.5,0.05449591281,,,40.55,,,8110,60.825,0.0072980352,0.007351688078,156,,,,,,,,,0.7,,,,,,,,,Livestock,,,Graze Apr-Oct,,,,,,,Dec 1990-Oct 1992,MYR,P-1-2,FARM,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK
,Meriggi 1996,Eastern Northern Apennines,130,Cattle,Bos taurus,Bos taurus,1540,0.7230046948,11.8,0.4196185286,,,613,,,944020,7233.4,0.8678932645,6.569636751,156,,,,,,,,,1.3,,,,,,,,,Livestock,,,680 calves born on pasture. Graze Apr-Aug,,,,,,,Dec 1990-Oct 1992,MYR,P-1-2,FARM,U,1,T,2,MEI96ENA,ENA,7,UK,UK,UK
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Wild boar,Sus scrofa,Sus scrofa,,1.976190476,,0.664,59.4,"Calculated from local data of shot individuals (592 males, 477 females; 315 juveniles, 214 sub-adults, 487 adults)",84.5,,,,,0.7759283537,3.462858271,106,57,,53.8,,,,,,76.5,,,,63.555,76.8868,0.8266048268,4.767173225,,Wild,,,"Spring is the peak season of births. Hunting season is in autumn/winter, wolves may be using wounded and not retrieved animals. High wildboar capture rate in winter may be related to snow. ",,,,,,,February 2007-March 2008,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,,0.3106159895,,0.237,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,,,0.07341641912,0.07923345572,106,12,,11.3,,,,,,16.3,,,,7.4184,76.8868,0.09648470219,0.1067881224,,Wild,,,,,,,,,,February 2007-March 2008,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
"Concentrated in a few area, escaped from captive pens",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Fallow deer,Dama dama,Dama dama,,0.0752688172,,0.07,56.5,"Calculated from local data of shot individuals ( 27 males, 16 females, 3 juveniles, 15 sub-adults, 24 adults)",56.2,,,,,0.05440404476,0.05753413438,106,4,,3.8,,,,,,5.7,,,,3.5544,76.8868,0.0462290016,0.0484697078,,Wild,,,,,,,,,,February 2007-March 2008,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
"Concentrated in a few area, escaped from captive pens and exapanding their area",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Red deer,Cervus elaphus,Cervus elaphus,,0.0298661174,,0.029,98.5,Calculated from literature data ,240,,,,,0.0962511824,0.1065021392,106,1,,0.9,,,,,,1.4,,,,2.359,76.8868,0.03068146938,0.03165261822,,Wild,,,,,,,,,,February 2007-March 2008,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Wild boar,Sus scrofa,Sus scrofa,,1.352941176,,0.575,59.4,"Calculated from local data of shot individuals (592 males, 477 females; 315 juveniles, 214 sub-adults, 487 adults)",84.5,,,,,0.7421825475,2.87871337,35,12,,34.3,,,,,,86.4,,,,13.38,14.6164,0.9154100873,10.82174054,,Wild,,,"Spring is the peak season of births. Hunting season is in autumn/winter, wolves may be using wounded and not retrieved animals. High wildboar capture rate in winter may be related to snow. ",,,,,,,Sept 2008-Aug 2009,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,,0.5748031496,,0.365,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,,,0.1248898278,0.1427132626,35,2,,5.7,,,,,,13.6,,,,1.2364,14.6164,0.0845899127,0.09240657698,,Wild,,,,,,,,,,Sept 2008-Aug 2009,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
"Concentrated in a few area, escaped from captive pens",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Fallow deer,Dama dama,Dama dama,,0.03199174407,,0.031,56.5,"Calculated from local data of shot individuals ( 27 males, 16 females, 3 juveniles, 15 sub-adults, 24 adults)",56.2,,,,,0.02661240925,0.02733999231,35,0,,0,,,,,,0,,,,0,14.6164,0,0,,Wild,,,,,,,,,,Sept 2008-Aug 2009,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
"Concentrated in a few area, escaped from captive pens and exapanding their area",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Red deer,Cervus elaphus,Cervus elaphus,,0.0298661174,,0.029,98.5,Calculated from literature data ,240,,,,,0.1063152154,0.1189627677,35,0,,0,,,,,,0,,,,0,14.6164,0,0,,Wild,,,,,,,,,,Sept 2008-Aug 2009,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Wild boar,Sus scrofa,Sus scrofa,,1.652519894,,0.623,59.4,"Calculated from local data of shot individuals (592 males, 477 females; 315 juveniles, 214 sub-adults, 487 adults)",84.5,,,,,0.6843350471,2.167915826,61,16,,26.2,,,,,,30.3,,,,17.84,41.104,0.4340210199,0.7668500688,,Wild,,,"Spring is the peak season of births. Hunting season is in autumn/winter, wolves may be using wounded and not retrieved animals. High wildboar capture rate in winter may be related to snow. ",,,,,,,April 2010-April 2011,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,,0.3351134846,,0.251,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,,,0.07308794759,0.07885100576,61,30,,49.2,,,,,,65.3,,,,18.546,41.104,0.4511969638,0.8221473535,,Wild,,,,,,,,,,April 2010-April 2011,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
"Concentrated in a few area, escaped from captive pens",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Fallow deer,Dama dama,Dama dama,,0.06723585912,,0.063,56.5,"Calculated from local data of shot individuals ( 27 males, 16 females, 3 juveniles, 15 sub-adults, 24 adults)",56.2,,,,,0.04602575185,0.04824632525,61,0,,0,,,,,,0,,,,0,41.104,0,0,,Wild,,,,,,,,,,April 2010-April 2011,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
"Concentrated in a few area, escaped from captive pens and exapanding their area",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Red deer,Cervus elaphus,Cervus elaphus,,0.06723585912,,0.063,98.5,Calculated from literature data ,240,,,,,0.1965512535,0.244634464,61,2,,3.3,,,,,,4.4,,,,4.718,41.104,0.1147820163,0.1296652559,,Wild,,,,,,,,,,April 2010-April 2011,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Wild boar,Sus scrofa,Sus scrofa,,0.8248175182,,0.452,59.4,"Calculated from local data of shot individuals (592 males, 477 females; 315 juveniles, 214 sub-adults, 487 adults)",84.5,,,,,0.5795047642,1.378148228,156,70,,44.6,,,,,,58.1,,,,78.05,171.5814,0.4548861357,0.8344791161,,Wild,,,"Spring is the peak season of births, but births occur year round. Subadults are forced to leave the matriarchical groups when new births occur (subadults more vulnerable due to lack of experience). Hunting season is in autumn/winter, wolves may be using wounded and not retrieved animals. High wildboar capture rate in winter may be related to snow. Live in large groups, easily detectable. ",,,,,,,Aug 2011-Aug 2012,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,,0.5974440895,,0.374,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,,,0.1271105177,0.1456204024,156,22,,14.3,,,,,,12.9,,,,13.6004,171.5814,0.07926500192,0.08608883347,,Wild,,,"""Easy to catch and kill once identified"" but difficult to track since they are solitary and territorial, especially in forested habitats. Roe deer predation rate dependent on encounter rate",,,,,,,Aug 2011-Aug 2012,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
"Concentrated in a few area, escaped from captive pens",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Fallow deer,Dama dama,Dama dama,,0.138952164,,0.122,56.5,"Calculated from local data of shot individuals ( 27 males, 16 females, 3 juveniles, 15 sub-adults, 24 adults)",56.2,,,,,0.1040298598,0.1161086236,156,5,,3,,,,,,0.4,,,,4.443,171.5814,0.02589441513,0.02658276016,,Wild,,,"""Fallow deer and red deer have low densities, and populations are concentrated only in specific areas, but their gregarious behaviour brings wolves to exercise a targeted hunt, whose success may be independent of the encounter rate""",,,,,,,Aug 2011-Aug 2012,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
"Concentrated in a few area, escaped from captive pens and exapanding their area",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Red deer,Cervus elaphus,Cervus elaphus,,0.05485232068,,0.052,98.5,Calculated from literature data ,240,,,,,0.1893548583,0.2335853859,156,32,,20.2,,,,,,24.9,,,,75.488,171.5814,0.4399544473,0.7855690401,,Wild,,,"""Fallow deer and red deer have low densities, and populations are concentrated only in specific areas, but their gregarious behaviour brings wolves to exercise a targeted hunt, whose success may be independent of the encounter rate""",,,,,,,Aug 2011-Aug 2012,SYR,B,TS,SYR,1,T+ GRID,1,MEI15ERL,ERL,4,UK,UK,UK
,Mysłajek 2022,Roztocze and Solska Forest,1300,Red deer,Cervus elaphus,Cervus elaphus,,0.4050632911,,0.288,,,240,,,,,0.5486415328,1.215533933,302,41,287,13.6,,,,,0.1666666667,,52.0884,0.159,,96.719,310.2346,0.3117608416,0.4529832949,,Wild,,,,,,,,,,2017-2020,MYR,P-3-3,MIX,U,3,TRL,3,MYK22RAS,RAS,5,2,0,2
,Mysłajek 2022,Roztocze and Solska Forest,1300,Roe deer,Capreolus capreolus,Capreolus capreolus,,1.116525424,,0.527,,,22.4,,,,,0.09370086178,0.1033884485,302,131,287,43.4,,,,,0.8397435897,,161.1792,0.492,,80.9842,310.2346,0.2610418051,0.3532565265,,Wild,,,,,,,,,,2017-2020,MYR,P-3-3,MIX,U,3,TRL,3,MYK22RAS,RAS,5,2,0,2
,Mysłajek 2022,Roztocze and Solska Forest,1300,Fallow deer,Dama dama,Dama dama,,0.008072653885,,0.008,,,56.2,,,,,0.00356870997,0.003581491274,302,9,287,3,,,,,0.03237410072,,9.5004,0.029,,7.9974,310.2346,0.02577855597,0.02646067393,,Wild,,,Non-native prey species introduced for recreational hunting,,,,,,,2017-2020,MYR,P-3-3,MIX,U,3,TRL,3,MYK22RAS,RAS,5,2,0,2
,Mysłajek 2022,Roztocze and Solska Forest,1300,Moose,Alces alces,Alces alces,,0.08116883117,,0.075,,,481,,,,,0.2863461125,0.4012394768,302,2,287,0.7,,,,,0.00701754386,,0.9828,0.003,,8.574,310.2346,0.02763714943,0.02842267104,,Wild,,,,,,,,,,2017-2020,MYR,P-3-3,MIX,U,3,TRL,3,MYK22RAS,RAS,5,2,0,2
,Mysłajek 2022,Roztocze and Solska Forest,1300,Wild boar,Sus scrofa,Sus scrofa,,0.1124721604,,0.101,,,84.5,,,,,0.06774278301,0.07266533503,302,104,287,34.4,,,,,0.5683060109,,85.5036,0.261,,115.96,310.2346,0.3737816478,0.5968870866,,Wild,,,"Sociable, conspicuous, locally abundant, redily detectable to a predator. Piglets easy to capture. African swine disease outbreak at the time caused high mortality of wildboar so the disease may have weakened them and made them easier to kill and also provided lots of carcasses for scavenging.",,,,,,,2017-2020,MYR,P-3-3,MIX,U,3,TRL,3,MYK22RAS,RAS,5,2,0,2
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Bydgoszcz Forest,640,Roe deer,Capreolus capreolus,Capreolus capreolus,,1.471604938,,0.596,,,22.4,,,,,0.1520215989,0.1792753197,81,26,,32.1,,40.9,,,,,,0.296,,16.0732,82.1938,0.1955524626,0.2430891432,,Wild,,,,,,,,,,Unclear (2002-2009 is not possible for all areas because some didn't have wolf presence until after 2002),,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11BYD,BYD,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Bydgoszcz Forest,640,Red deer,Cervus elaphus,Cervus elaphus,,0.3490566038,,0.259,,,240,,,,,0.7078186864,2.422532357,81,13,,16,,20.6,,,,,,0.182,,30.667,82.1938,0.3731060007,0.5951660107,,Wild,,,hunting red deer can be risky or requires high energy expenditures,,,,,,,Unclear (2002-2009 is not possible for all areas because some didn't have wolf presence until after 2002),,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11BYD,BYD,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Bydgoszcz Forest,640,Fallow deer,Dama dama,Dama dama,,0.001,,0.001,,,56.2,,,,,0.0006399519011,0.0006403617018,81,1,,1.2,,1.7,,,,,,0.002,,0.8886,82.1938,0.01081103441,0.01092919026,,Wild,,,,,,,,,,Unclear (2002-2009 is not possible for all areas because some didn't have wolf presence until after 2002),,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11BYD,BYD,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Bydgoszcz Forest,640,Wild boar,Sus scrofa,Sus scrofa,,0.1693925234,,0.145,,,84.5,,,,,0.1395197628,0.1621417399,81,31,,38.3,,36.8,,,,,,0.357,,34.565,82.1938,0.4205305023,0.7257163733,,Wild,,,,,,,,,,Unclear if they were the average of multiple years or a just a single year,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11BYD,BYD,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Wałcz Forest,1000,Roe deer,Capreolus capreolus,Capreolus capreolus,,1.349765258,,0.575,,,22.4,,,,,0.1561615302,0.1850609279,112,45,,40.2,,50,,,,,,0.429,,27.819,113.425,0.2452633899,0.3249655398,,Wild,,,,,,,,,,Unclear if they were the average of multiple years or a just a single year,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11WLF,WLF,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Wałcz Forest,1000,Red deer,Cervus elaphus,Cervus elaphus,,0.2800511509,,0.219,,,240,,,,,0.6372554369,1.756760822,112,24,,21.4,,26.4,,,,,,0.249,,56.616,113.425,0.4991492175,0.996602651,,Wild,,,hunting red deer can be risky or requires high energy expenditures,,,,,,,Unclear if they were the average of multiple years or a just a single year,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11WLF,WLF,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Wałcz Forest,1000,Fallow deer,Dama dama,Dama dama,,0.01624365482,,0.016,,,56.2,,,,,0.01090220869,0.01102237695,112,0,,0,,0,,,,,,0,,0,113.425,0,0,,Wild,,,,,,,,,,Unclear if they were the average of multiple years or a just a single year,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11WLF,WLF,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Wałcz Forest,1000,Wild boar,Sus scrofa,Sus scrofa,,0.2358024691,,0.191,,,84.5,,,,,0.1956808243,0.2432875283,112,26,,23.2,,23.6,,,,,,0.162,,28.99,113.425,0.2555873926,0.3433410316,,Wild,,,,,,,,,,Unclear if they were the average of multiple years or a just a single year,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11WLF,WLF,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Rzepin Forest,950,Roe deer,Capreolus capreolus,Capreolus capreolus,,1.118644068,,0.528,,,22.4,,,,,0.1504227588,0.1770560126,126,34,,27,,28.1,,,,,,0.331,,21.0188,158.4942,0.1326155784,0.1528913537,,Wild,,,,,,,,,,Unclear if they were the average of multiple years or a just a single year,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11RZF,RZF,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Rzepin Forest,950,Red deer,Cervus elaphus,Cervus elaphus,,0.213592233,,0.176,,,240,,,,,0.5372241385,1.160873293,126,27,,21.4,,22.7,,,,,,0.267,,63.693,158.4942,0.4018632858,0.6718585841,,Wild,,,hunting red deer can be risky or requires high energy expenditures,,,,,,,Unclear if they were the average of multiple years or a just a single year,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11RZF,RZF,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Rzepin Forest,950,Fallow deer,Dama dama,Dama dama,,0.0162601626,,0.016,,,56.2,,,,,0.01143636234,0.0115686658,126,9,,7.1,,7.4,,,,,,0.07,,7.9974,158.4942,0.05045862877,0.05314000032,,Wild,,,,,,,,,,Unclear if they were the average of multiple years or a just a single year,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11RZF,RZF,4,1,0,1
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Rzepin Forest,950,Wild boar,Sus scrofa,Sus scrofa,,0.3888888889,,0.28,,,84.5,,,,,0.3009167404,0.4304447808,126,59,,46.8,,42.1,,,,,,0.268,,65.785,158.4942,0.415062507,0.7095843778,,Wild,,,,,,,,,,Unclear if they were the average of multiple years or a just a single year,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,U,NOK11RZF,RZF,4,1,0,1
